Chart,Purpose,Element,Interactions,value
Dashboard,Learning,Choropleth Map,Clicking,0.066
Dashboard,Learning,Choropleth Map,Zooming and Panning,0.066
Dashboard,Learning,Choropleth Map,Tooltip,0.066
Dashboard,Learning,Menu Page,Selecting,0.2
Dashboard,Analyzing,Cartogram,Tooltip,0.2
Dashboard,Analyzing,Calender View,No,0.2
Dashboard,Analyzing,Box Plot,No,0.2
Dashboard,Analyzing,Table,No,0.2
Dashboard,Analyzing,Toolbar,Highlighting,0.2
Dashboard,Analyzing,Cartogram,Zooming and Panning,0.125
Dashboard,Analyzing,Cartogram,Tooltip,0.125
Dashboard,Analyzing,Bar Chart,No,0.25
Dashboard,Analyzing,Parallel Coordinates,No,0.25
Dashboard,Analyzing,Line Chart,No,0.25
Dashboard,Analyzing,Word Cloud,Selecting,0.083
Dashboard,Analyzing,Word Cloud,Ranking and Ordering,0.083
Dashboard,Analyzing,Sankey Diagram,Selecting,0.167
Dashboard,Analyzing,Parallel Coordinates,Selecting,0.166
Dashboard,Analyzing,Histogram,Filtering,0.166
Dashboard,Analyzing,Table,Filtering,0.166
Dashboard,Analyzing,Toolbar,Filtering,0.166
Dashboard,Analyzing,Heat Map,No,0.2
Dashboard,Analyzing,Grid Map,No,0.2
Dashboard,Analyzing,Histogram,Filtering,0.2
Dashboard,Analyzing,Bar Chart,Filtering,0.2
Dashboard,Analyzing,Table,No,0.2
Dashboard,Analyzing,Toolbar,Filtering,0.0625
Dashboard,Analyzing,Toolbar,Ranking and Ordering,0.0625
Dashboard,Analyzing,Table,Highlighting,0.125
Dashboard,Analyzing,Time Slider,Filtering,0.125
Dashboard,Analyzing,Image,No,0.125
Dashboard,Analyzing,Table,No,0.125
Dashboard,Analyzing,Word Cloud,Ranking and Ordering,0.125
Dashboard,Analyzing,Point Map,Zooming and Panning,0.125
Dashboard,Analyzing,Histogram,No,0.125
Dashboard,Analyzing,Toolbar,Importing and Exporting,0.047
Dashboard,Analyzing,Toolbar,Filtering,0.047
Dashboard,Analyzing,Toolbar,Selecting,0.047
Dashboard,Analyzing,Bar Chart,Selecting,0.047
Dashboard,Analyzing,Bar Chart,Ranking and Ordering,0.047
Dashboard,Analyzing,Bar Chart,Categorizing,0.047
Dashboard,Analyzing,Line Chart,No,0.143
Dashboard,Analyzing,Choropleth Map,Zooming and Panning,0.0478
Dashboard,Analyzing,Choropleth Map,Filtering,0.0478
Dashboard,Analyzing,Choropleth Map,Selecting,0.0478
Dashboard,Analyzing,Scatter Plot,Filtering,0.142
Dashboard,Analyzing,Table,Ranking and Ordering,0.0714
Dashboard,Analyzing,Table,Highlighting,0.0714
Dashboard,Analyzing,Glyph,No,0.142
StoryMap,Learning,Table,No,0.1429
StoryMap,Learning,Text,No,0.1429
StoryMap,Learning,Image,Clicking,0.0714
StoryMap,Learning,Image,Zooming,0.0714
StoryMap,Learning,Overview Map,Clicking,0.0286
StoryMap,Learning,Overview Map,Animation,0.0286
StoryMap,Learning,Overview Map,Tooltip,0.0286
StoryMap,Learning,Overview Map,Linked views,0.0286
StoryMap,Learning,Overview Map,Map overlay,0.0286
StoryMap,Learning,Time Slider,Selecting,0.0476
StoryMap,Learning,Time Slider,Clicking,0.0476
StoryMap,Learning,Time Slider,Highlighting,0.0476
StoryMap,Learning,Toolbar,Clicking,0.0714
StoryMap,Learning,Toolbar,Selecting,0.0714
StoryMap,Learning,Bar Chart,Highlighting,0.1429
StoryMap,Learning,Text,No,0.2
StoryMap,Learning,Proportional Symbol Map,Zooming,0.0667
StoryMap,Learning,Proportional Symbol Map,Panning,0.0667
StoryMap,Learning,Proportional Symbol Map,Map overlay,0.0667
StoryMap,Learning,Network,Animation,0.1
StoryMap,Learning,Network,Tooltip,0.1
StoryMap,Learning,Time Slider,Selecting,0.1
StoryMap,Learning,Time Slider,Clicking,0.1
StoryMap,Learning,Toolbar,Selecting,0.1
StoryMap,Learning,Toolbar,Clicking,0.1
StoryMap,Learning,Text,No,0.3333
StoryMap,Learning,Overview Map,Clicking,0.0476
StoryMap,Learning,Overview Map,Zooming,0.0476
StoryMap,Learning,Overview Map,Panning,0.0476
StoryMap,Learning,Overview Map,Tooltip,0.0476
StoryMap,Learning,Overview Map,Selecting,0.0476
StoryMap,Learning,Overview Map,Querying,0.0476
StoryMap,Learning,Overview Map,Video,0.0476
StoryMap,Learning,Image,Clicking,0.1667
StoryMap,Learning,Image,Zooming,0.1667
StoryMap,Monitoring,Text,No,0.2
StoryMap,Monitoring,Image,No,0.2
StoryMap,Monitoring,Overview Map,Zooming,0.04
StoryMap,Monitoring,Overview Map,Panning,0.04
StoryMap,Monitoring,Overview Map,Tooltip,0.04
StoryMap,Monitoring,Overview Map,Clicking,0.04
StoryMap,Monitoring,Overview Map,Highlighting,0.04
StoryMap,Monitoring,Pie Chart,Tooltip,0.1
StoryMap,Monitoring,Pie Chart,Highlighting,0.1
StoryMap,Monitoring,Bar Chart,Tooltip,0.2
StoryMap,Learning,Text,Animation,0.1428
StoryMap,Learning,Image,Animation,0.1428
StoryMap,Learning,Overview Map,Clicking,0.0286
StoryMap,Learning,Overview Map,Tooltip,0.0286
StoryMap,Learning,Overview Map,Zooming,0.0286
StoryMap,Learning,Overview Map,Panning,0.0286
StoryMap,Learning,Overview Map,Querying,0.0286
StoryMap,Learning,Choropleth Map,Zooming,0.0476
StoryMap,Learning,Choropleth Map,Panning,0.0476
StoryMap,Learning,Choropleth Map,Tooltip,0.0476
StoryMap,Learning,Time Slider,Selecting,0.0714
